word,count,happs_score,stddev,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
request,1,5.34,1.2224,,,,,,1,,,,,
prompted,1,5.54,1.0343,,,,,,1,,,,,
boston,1,5.76,1.4923,,,,,,1,,,,,
suffering,1,2.22,1.7058,,,,,,1,,,,,
severe,4,3.16,1.7186,,,,,,1,1,1,1,,
domestic,1,5.46,1.6563,,,,,,1,,,,,
single,2,5.12,1.5205,,,,,,1,1,,,,
surrounds,1,5.72,1.3856,,,,,,1,,,,,
college,3,6.94,1.4201,,,,,,2,1,,,,
december,1,6.34,1.8473,,,,,,1,,,,,
ordered,3,4.96,1.428,,,,,,1,1,,,1,
email,1,6.88,1.3192,,,,,,1,,,,,
showing,2,5.84,0.8418,,,,,,1,1,,,,
suffer,1,2.08,1.3827,,,,,,1,,,,,
stay,3,5.56,1.1634,,,,,,1,2,,,,
relevant,1,6.49,1.0433,,,,,,1,,,,,
infections,8,2.59,1.914,,,,,,5,3,,,,
shoot,4,3.46,1.6686,,,,,,2,,1,1,,
thanksgiving,2,7.4,1.4142,,,,,,2,,,,,
jump,3,5.48,1.7407,,,,,,1,1,,,1,
positive,3,7.8,1.2454,,,,,,2,1,,,,
miss,1,3.64,1.6258,,,,,,1,,,,,
cast,3,5.4,1.3702,,,,,,1,,,1,,1
montreal,1,5.82,1.2567,,,,,,1,,,,,
places,3,6.14,1.1608,,,,,,1,,2,,,
blame,2,2.82,1.5345,,,,,,1,,,,,1
staten,1,5.16,1.2513,,,,,,1,,,,,
concerning,1,4.24,1.6898,,,,,,1,,,,,
william,1,5.46,1.0539,,,,,,1,,,,,
time,11,5.74,1.209,,,,,,3,1,3,1,2,1
retreat,3,5.18,1.9659,,,,,,1,,1,,,1
wisconsin,3,5.56,1.4165,,,,,,3,,,,,
cuts,2,3.64,1.3962,,,,,,1,1,,,,
cost,5,4.1,1.4033,,,,,,1,2,2,,,
metropolitan,1,6.3,1.6812,,,,,,1,,,,,
area,4,5.44,0.8843,,,,,,1,,2,,1,
jobs,1,6.32,1.7431,,,,,,1,,,,,
ending,2,4.02,1.4213,,,,,,1,,,,,1
numbers,3,6.04,1.1421,,,,,,1,2,,,,
daily,10,5.4,1.0302,,,,,,2,5,2,1,,
ohio,3,5.22,1.4184,,,,,,3,,,,,
percent,5,5.34,0.9172,,,,,,2,3,,,,
start,2,6.1,1.5419,,,,,,1,,1,,,
stimulus,3,5.68,1.8232,,,,,,2,1,,,,
controlling,1,4.42,2.0513,,,,,,1,,,,,
reach,2,5.74,1.3969,,,,,,1,1,,,,
paso,1,4.98,1.1865,,,,,,1,,,,,
timeline,1,5.54,1.1287,,,,,,1,,,,,
statements,1,5.46,0.9733,,,,,,1,,,,,
reveals,4,5.96,1.4702,,,,,,1,,2,1,,
infection,1,2.84,1.6458,,,,,,1,,,,,
told,1,5.08,1.3827,,,,,,1,,,,,
protected,1,6.6,1.178,,,,,,1,,,,,
developers,1,5.46,1.7168,,,,,,1,,,,,
promising,2,6.64,1.1205,,,,,,1,1,,,,
initial,2,5.42,1.0515,,,,,,1,,,,1,
second,9,5.38,1.1933,,,,,,4,1,,2,1,1
bishops,1,4.92,1.9466,,,,,,1,,,,,
horses,1,6.84,1.4758,,,,,,1,,,,,
field,2,5.88,1.1891,,,,,,1,,,,1,
common,2,4.92,1.2591,,,,,,1,1,,,,
cardinal,2,5.54,1.6062,,,,,,1,,,1,,
knew,1,5.94,1.3001,,,,,,1,,,,,
clergy,2,5.29,1.8819,,,,,,1,1,,,,
appearance,2,5.8,1.4846,,,,,,1,,,,1,
waters,1,6.32,1.1507,,,,,,1,,,,,
happiness,1,8.44,0.9723,,,,,,1,,,,,
signs,3,5.54,0.8621,,,,,,1,,1,,1,
zero,2,3.44,1.6433,,,,,,1,,,,,1
action,3,5.98,1.4213,,,,,,1,1,,,,1
max,1,5.7,1.233,,,,,,1,,,,,
boeing,2,5.24,1.3637,,,,,,1,,,1,,
confusion,1,3.32,1.3619,,,,,,1,,,,,
reign,1,5.06,1.5308,,,,,,1,,,,,
oregon,5,6.0,1.178,,,,,,2,2,1,,,
announce,1,5.68,0.8676,,,,,,1,,,,,
cruise,2,6.7,1.9614,,,,,,1,1,,,,
passengers,1,5.72,1.0506,,,,,,1,,,,,
scene,1,5.94,1.3311,,,,,,1,,,,,
sets,3,5.08,1.3377,,,,,,1,1,,1,,
ruled,1,4.92,1.4961,,,,,,1,,,,,
reaches,3,5.96,1.3696,,,,,,2,1,,,,
federal,4,4.94,1.0768,,,,,,2,2,,,,
highest,3,6.8,1.7613,,,,,,1,2,,,,
central,3,5.6,0.8806,,,,,,1,,1,,1,
low,2,3.66,1.1178,,,,,,1,1,,,,
sigh,1,4.16,1.8223,,,,,,1,,,,,
enforcement,2,4.1,1.4178,,,,,,1,1,,,,
minnesota,2,5.24,1.5328,,,,,,1,1,,,,
penn,1,5.42,1.295,,,,,,1,,,,,
classes,1,5.84,1.3303,,,,,,1,,,,,
urge,2,5.18,1.3045,,,,,,1,,,,,1
keeping,1,6.1,1.1112,,,,,,1,,,,,
understand,1,6.56,1.7043,,,,,,1,,,,,
cuomo,7,5.16,0.7918,,,,,,2,5,,,,
worry,1,2.82,1.7106,,,,,,1,,,,,
reached,2,6.08,1.2591,,,,,,1,,,,,1
monday,2,4.3,1.8871,,,,,,1,,,1,,
moment,1,5.68,1.1147,,,,,,1,,,,,
football,2,6.34,2.0062,,,,,,2,,,,,
game,4,6.92,1.6015,,,,,,3,,,1,,
canceled,1,3.24,1.5722,,,,,,1,,,,,
nursing,8,6.12,1.4658,,,,,,1,6,1,,,
seven,2,5.66,1.2554,,,,,,1,,,,,1
restaurants,2,6.62,1.783,,,,,,2,,,,,
invite,1,6.64,1.4251,,,,,,1,,,,,
guests,1,6.14,1.3852,,,,,,1,,,,,
revenue,2,6.72,1.5258,,,,,,1,1,,,,
losses,2,2.46,1.4458,,,,,,1,,,1,,
governments,2,4.62,1.701,,,,,,2,,,,,
potentially,1,5.96,1.5113,,,,,,1,,,,,
gathering,1,6.48,1.2329,,,,,,1,,,,,
village,3,6.28,1.1256,,,,,,1,,,1,,1
maryland,1,5.84,1.6704,,,,,,1,,,,,
activities,2,6.46,1.2157,,,,,,1,,1,,,
players,1,5.96,1.6157,,,,,,1,,,,,
restrictions,6,3.32,0.957,,,,,,2,1,1,1,1,
arkansas,2,5.4,1.2289,,,,,,1,1,,,,
legislature,1,4.7,1.5286,,,,,,1,,,,,
surgeon,1,5.34,1.6239,,,,,,1,,,,,
wave,3,6.34,1.1537,,,,,,1,,1,,1,
remove,2,3.7,1.1995,,,,,,1,,,,,1
list,1,5.46,0.8621,,,,,,1,,,,,
states,3,5.64,1.2578,,,,,,1,,1,,,1
rally,3,5.7,1.2495,,,,,,1,,,2,,
supporters,1,6.2,1.5779,,,,,,1,,,,,
alaska,2,5.64,1.6258,,,,,,1,1,,,,
lift,3,5.78,1.0359,,,,,,1,1,1,,,
rises,2,6.24,1.2545,,,,,,2,,,,,
warn,3,4.27,1.7173,,,,,,2,1,,,,
follow,2,5.66,1.1713,,,,,,1,,1,,,
announces,2,5.56,0.9723,,,,,,1,,,1,,
arrest,4,2.42,1.4859,,,,,,1,,1,1,1,
host,2,6.06,1.3614,,,,,,1,,,,,1
extending,2,6.1,1.2588,,,,,,1,,,1,,
supreme,4,6.64,1.3365,,,,,,1,1,,1,1,
suspended,2,3.08,1.2591,,,,,,1,1,,,,
having,1,5.78,1.016,,,,,,1,,,,,
drinks,1,6.74,1.4259,,,,,,1,,,,,
bar,1,5.82,1.8035,,,,,,1,,,,,
sudden,1,4.3,1.3132,,,,,,1,,,,,
sells,2,5.62,1.3231,,,,,,1,,,,,1
assets,1,6.66,1.6239,,,,,,1,,,,,
package,1,6.22,1.4748,,,,,,1,,,,,
clubs,1,6.34,1.4654,,,,,,1,,,,,
modern,1,6.48,1.1822,,,,,,1,,,,,
tiny,2,4.9,1.374,,,,,,1,1,,,,
newest,2,6.5,1.5551,,,,,,1,,,1,,
traveling,1,6.78,1.6695,,,,,,1,,,,,
titles,1,5.56,1.2643,,,,,,1,,,,,
tennis,1,6.4,1.4142,,,,,,,1,,,,
player,2,5.94,1.6214,,,,,,,1,,1,,
old,2,3.98,1.7553,,,,,,,1,1,,,
cycle,1,5.62,1.4412,,,,,,,1,,,,
cloud,1,5.62,1.8504,,,,,,,1,,,,
parties,12,7.42,1.4441,,,,,,,2,10,,,
awaits,1,5.49,1.4012,,,,,,,1,,,,
policy,2,4.74,1.4401,,,,,,,2,,,,
running,2,5.7,1.5017,,,,,,,2,,,,
probably,2,5.64,1.2415,,,,,,,1,1,,,
resistance,1,4.38,1.6274,,,,,,,1,,,,
paid,2,7.14,1.7144,,,,,,,1,1,,,
freeze,1,4.08,1.8609,,,,,,,1,,,,
critics,2,3.8,1.6782,,,,,,,1,,,,1
diversity,1,5.82,1.7401,,,,,,,1,,,,
dreams,1,7.44,1.4165,,,,,,,1,,,,
got,3,5.6,1.4569,,,,,,,3,,,,
haiti,7,4.06,2.2077,,,,,,,6,1,,,
broken,4,3.02,1.4068,,,,,,,2,2,,,
inmates,2,3.48,2.0227,,,,,,,2,,,,
result,2,6.0,1.1606,,,,,,,1,1,,,
buying,2,6.4,1.2936,,,,,,,1,,1,,
relative,1,6.58,1.2631,,,,,,,1,,,,
organized,1,6.62,1.2436,,,,,,,1,,,,
rock,1,6.14,1.2938,,,,,,,1,,,,
develop,1,6.26,1.0461,,,,,,,1,,,,
shots,3,3.32,2.0146,,,,,,,3,,,,
effort,3,5.86,1.6289,,,,,,,2,,,1,
bag,1,5.64,1.0645,,,,,,,1,,,,
familiar,1,6.44,1.2643,,,,,,,1,,,,
came,4,5.42,1.4155,,,,,,,1,,,2,1
protect,1,6.8,1.4142,,,,,,,1,,,,
proved,1,6.26,1.9358,,,,,,,1,,,,
continuing,1,5.76,1.2216,,,,,,,1,,,,
future,4,6.76,1.4223,,,,,,,1,1,,2,
virtually,1,5.6,1.0498,,,,,,,1,,,,
tuesday,1,4.98,1.0593,,,,,,,1,,,,
jane,1,5.5,0.9742,,,,,,,1,,,,
fans,1,7.02,1.2534,,,,,,,1,,,,
today,2,6.22,1.4469,,,,,,,1,,,,1
financial,3,5.42,1.7853,,,,,,,1,,,1,1
strain,2,3.73,1.8071,,,,,,,1,1,,,
gentleman,1,6.96,1.7254,,,,,,,1,,,,
nurses,1,6.1,1.9175,,,,,,,1,,,,
director,3,5.8,1.4846,,,,,,,1,,2,,
suggest,4,5.52,1.2329,,,,,,,3,,,1,
fast,4,6.44,1.2316,,,,,,,2,,1,,1
moving,1,5.36,1.495,,,,,,,1,,,,
known,2,5.8,1.3851,,,,,,,1,1,,,
spreading,1,5.96,1.3064,,,,,,,1,,,,
delta,2,5.36,1.0451,,,,,,,2,,,,
compensation,1,6.52,1.6932,,,,,,,1,,,,
opened,1,6.0,1.2289,,,,,,,1,,,,
parliamentary,1,5.24,1.5851,,,,,,,1,,,,
older,1,4.74,1.7821,,,,,,,1,,,,
disabled,1,2.82,1.1899,,,,,,,1,,,,
abused,3,1.83,1.3101,,,,,,,2,,,1,
estimates,1,5.32,1.1147,,,,,,,1,,,,
counts,2,5.3,1.1473,,,,,,,1,1,,,
province,2,5.38,1.4831,,,,,,,2,,,,
immediate,3,5.6,1.666,,,,,,,2,,,1,
pushed,2,4.1,1.4743,,,,,,,2,,,,
gate,1,5.18,1.1008,,,,,,,1,,,,
roller,1,5.48,1.2656,,,,,,,1,,,,
riders,1,5.62,1.4236,,,,,,,1,,,,
monitoring,1,5.06,1.2521,,,,,,,1,,,,
tokyo,3,5.76,1.5328,,,,,,,2,1,,,
searching,1,5.04,1.3395,,,,,,,1,,,,
worked,2,5.44,1.58,,,,,,,1,,1,,
warned,2,3.52,1.313,,,,,,,1,1,,,
august,1,5.98,1.4356,,,,,,,1,,,,
singapore,2,5.98,1.7899,,,,,,,1,,,1,
wide,1,5.46,1.328,,,,,,,1,,,,
july,1,5.98,1.6962,,,,,,,1,,,,
disease,2,2.0,1.3093,,,,,,,1,,,1,
hunger,3,3.37,1.9968,,,,,,,1,,,1,1
points,4,6.04,1.4702,,,,,,,1,2,1,,
root,1,5.8,1.2617,,,,,,,1,,,,
months,2,5.16,0.8657,,,,,,,1,,,1,
june,2,6.32,1.3915,,,,,,,2,,,,
plead,1,3.67,1.4052,,,,,,,1,,,,
guilty,1,2.64,1.5877,,,,,,,1,,,,
publishing,1,5.92,1.1753,,,,,,,1,,,,
entering,1,5.78,1.016,,,,,,,1,,,,
destined,1,5.96,1.4563,,,,,,,1,,,,
enabled,1,6.39,1.3817,,,,,,,1,,,,
nationwide,1,5.84,1.2513,,,,,,,1,,,,
stretch,1,5.66,1.5066,,,,,,,1,,,,
effective,2,6.76,1.2867,,,,,,,2,,,,
advisers,1,5.48,1.3738,,,,,,,1,,,,
attempts,1,5.54,1.1988,,,,,,,1,,,,
alter,1,5.32,1.2526,,,,,,,1,,,,
scientific,1,6.44,1.5274,,,,,,,1,,,,
emails,1,6.54,1.1817,,,,,,,1,,,,
april,1,6.36,1.5221,,,,,,,1,,,,
received,3,6.34,1.1537,,,,,,,1,2,,,
swift,1,5.94,1.2683,,,,,,,1,,,,
shift,2,5.26,1.0461,,,,,,,1,,,,1
attention,1,5.8,1.4846,,,,,,,1,,,,
know,10,6.1,1.3887,,,,,,,1,,1,3,5
dominant,1,5.19,1.9963,,,,,,,1,,,,
critical,1,3.22,1.4748,,,,,,,1,,,,
illness,1,2.0,1.178,,,,,,,1,,,,
rates,2,4.84,1.1493,,,,,,,1,,1,,
lower,2,4.24,1.0797,,,,,,,1,1,,,
affecting,1,5.31,1.3261,,,,,,,1,,,,
young,1,6.82,1.2403,,,,,,,1,,,,
strong,1,7.06,1.5174,,,,,,,1,,,,
ones,1,5.16,0.8172,,,,,,,1,,,,
makers,1,5.76,1.0012,,,,,,,1,,,,
laws,4,5.08,1.4546,,,,,,,1,,1,,2
worse,1,2.7,1.4178,,,,,,,1,,,,
effects,2,5.5,1.4743,,,,,,,2,,,,
experience,1,6.34,1.2056,,,,,,,1,,,,
march,2,5.78,1.2824,,,,,,,1,1,,,
leads,1,6.06,1.0956,,,,,,,1,,,,
violated,3,2.62,1.3834,,,,,,,3,,,,
quite,1,5.32,1.7076,,,,,,,1,,,,
according,5,5.1,0.9949,,,,,,,1,1,3,,
february,1,5.08,2.1077,,,,,,,1,,,,
indicates,1,5.32,1.0774,,,,,,,1,,,,
portion,1,5.48,1.5151,,,,,,,1,,,,
staff,3,5.36,0.8751,,,,,,,1,,1,,1
refuse,1,3.46,0.9304,,,,,,,1,,,,
emerged,1,5.68,0.9355,,,,,,,1,,,,
michigan,1,5.32,1.2848,,,,,,,1,,,,
advised,1,5.34,1.6977,,,,,,,1,,,,
teacher,1,6.36,1.5354,,,,,,,1,,,,
reactions,1,5.44,0.9655,,,,,,,1,,,,
colony,1,5.56,1.6099,,,,,,,1,,,,
describing,1,5.62,1.3231,,,,,,,1,,,,
strict,1,4.13,1.7646,,,,,,,1,,,,
measures,3,5.04,1.2447,,,,,,,1,1,,1,
faster,1,6.38,1.3536,,,,,,,1,,,,
gives,1,6.5,1.2817,,,,,,,1,,,,
glimpse,1,5.98,1.1701,,,,,,,1,,,,
baby,2,7.28,1.8521,,,,,,,1,,,,1
deborah,1,5.18,1.4384,,,,,,,1,,,,
task,1,4.92,1.3377,,,,,,,1,,,,
january,1,5.7,1.9086,,,,,,,1,,,,
cincinnati,1,5.48,1.4741,,,,,,,1,,,,
opponents,2,3.48,1.0925,,,,,,,2,,,,
refused,2,3.38,1.4553,,,,,,,1,1,,,
sick,1,2.02,1.0784,,,,,,,1,,,,
short,1,4.46,1.1466,,,,,,,1,,,,
columbia,2,5.44,1.473,,,,,,,1,,1,,
spaces,1,5.62,1.0237,,,,,,,1,,,,
legislators,1,4.2,1.8844,,,,,,,1,,,,
rule,1,4.52,1.5285,,,,,,,1,,,,
mask,12,4.86,1.2456,,,,,,,8,4,,,
petition,1,4.8,1.5778,,,,,,,1,,,,
declare,2,5.57,1.3472,,,,,,,1,,1,,
sharing,1,7.06,1.2843,,,,,,,1,,,,
rush,3,4.12,1.3649,,,,,,,2,,1,,
bills,1,2.82,1.6374,,,,,,,1,,,,
ends,2,3.78,1.4886,,,,,,,2,,,,
needed,1,5.46,1.4875,,,,,,,1,,,,
grow,1,6.68,1.2196,,,,,,,1,,,,
fully,1,6.18,1.2237,,,,,,,1,,,,
visitors,1,6.32,1.6956,,,,,,,1,,,,
capacity,1,5.5,1.4178,,,,,,,1,,,,
figure,1,5.5,1.1473,,,,,,,1,,,,
victoria,3,5.88,1.2395,,,,,,,3,,,,
allow,1,6.0,1.4708,,,,,,,1,,,,
stranded,1,3.73,1.8905,,,,,,,1,,,,
employee,2,5.74,1.192,,,,,,,1,,1,,
accident,1,2.32,1.5178,,,,,,,1,,,,
kentucky,2,5.8,1.2778,,,,,,,2,,,,
texas,4,5.54,1.2324,,,,,,,3,1,,,
fled,3,3.98,1.1692,,,,,,,1,,1,,1
unite,1,6.64,1.1911,,,,,,,1,,,,
broadcasting,1,5.68,1.3161,,,,,,,1,,,,
series,2,5.46,0.9304,,,,,,,1,,1,,
run,1,5.48,1.432,,,,,,,1,,,,
carolina,2,5.44,1.514,,,,,,,1,1,,,
vermont,1,5.58,1.295,,,,,,,1,,,,
partially,1,5.24,1.3024,,,,,,,1,,,,
eligible,1,6.66,1.2715,,,,,,,1,,,,
showed,1,5.74,1.0063,,,,,,,1,,,,
huge,3,6.14,1.7025,,,,,,,1,1,,,1
racial,1,4.0,1.7261,,,,,,,1,,,,
month,1,5.18,1.3354,,,,,,,1,,,,
follows,1,5.06,1.6088,,,,,,,1,,,,
games,2,7.32,1.2196,,,,,,,1,,1,,
committee,1,5.12,1.2395,,,,,,,1,,,,
criticized,2,3.02,1.5713,,,,,,,1,,,,1
ron,1,5.0,0.7284,,,,,,,1,,,,
pardon,1,5.8,1.6288,,,,,,,1,,,,
universities,1,6.56,1.6801,,,,,,,1,,,,
spain,2,6.2,1.6903,,,,,,,1,1,,,
ended,3,3.84,1.4479,,,,,,,1,,1,,1
streets,1,5.64,1.2415,,,,,,,1,,,,
voluntary,1,6.37,1.2365,,,,,,,1,,,,
departure,1,4.76,1.5194,,,,,,,1,,,,
personnel,1,5.38,1.1045,,,,,,,1,,,,
counties,1,5.22,1.016,,,,,,,1,,,,
level,1,5.6,0.9897,,,,,,,1,,,,
flights,2,5.98,1.8897,,,,,,,1,,,,1
continue,2,5.76,1.0214,,,,,,,1,1,,,
resources,1,6.46,1.1466,,,,,,,1,,,,
origins,1,5.4,1.5122,,,,,,,1,,,,
hawaii,2,7.02,1.6841,,,,,,,1,1,,,
foes,1,3.43,1.3229,,,,,,,1,,,,
tricky,1,4.46,1.5806,,,,,,,1,,,,
getting,1,5.68,1.1856,,,,,,,1,,,,
owner,1,6.1,1.5419,,,,,,,1,,,,
includes,1,5.88,1.5205,,,,,,,1,,,,
sector,1,4.9,1.233,,,,,,,1,,,,
favor,1,6.0,2.0603,,,,,,,1,,,,
parents,2,7.36,1.5086,,,,,,,1,1,,,
burn,1,2.92,1.3377,,,,,,,1,,,,
steps,4,5.38,1.1229,,,,,,,1,1,,2,
analysis,1,5.8,1.4286,,,,,,,1,,,,
economists,1,4.92,1.4824,,,,,,,1,,,,
memphis,1,5.42,1.5661,,,,,,,1,,,,
wasted,1,2.78,1.1657,,,,,,,1,,,,
lost,4,2.76,1.3933,,,,,,,1,1,1,1,
montana,1,5.44,1.2803,,,,,,,1,,,,
improving,1,6.96,0.8797,,,,,,,1,,,,
limited,2,4.22,1.1657,,,,,,,2,,,,
seeking,2,5.6,1.1429,,,,,,,1,,,1,
cross,2,4.68,1.7076,,,,,,,1,,,,1
looking,1,5.94,0.9775,,,,,,,1,,,,
bringing,3,6.04,1.1421,,,,,,,1,1,,1,
dining,1,6.48,1.7524,,,,,,,1,,,,
soon,1,6.34,0.8947,,,,,,,1,,,,
notice,1,5.16,1.5032,,,,,,,1,,,,
warning,3,3.34,1.423,,,,,,,1,1,1,,
demanding,1,3.7,1.6194,,,,,,,1,,,,
declined,1,3.16,1.5434,,,,,,,1,,,,
feeling,1,5.7,1.5152,,,,,,,,1,,,
stream,4,6.42,1.4995,,,,,,,,3,1,,
firm,1,5.32,1.1683,,,,,,,,1,,,
cyber,1,5.88,1.4797,,,,,,,,1,,,
removed,1,3.72,1.3856,,,,,,,,1,,,
spark,1,6.26,1.6637,,,,,,,,1,,,
supports,1,6.22,1.5292,,,,,,,,1,,,
red,1,5.56,1.6183,,,,,,,,1,,,
sales,2,5.8,1.1066,,,,,,,,1,,1,
crossed,1,4.7,1.374,,,,,,,,1,,,
river,1,6.68,1.3316,,,,,,,,1,,,
marked,1,4.92,1.2911,,,,,,,,1,,,
defensive,2,4.0,1.5253,,,,,,,,1,1,,
forum,1,5.94,1.2521,,,,,,,,1,,,
multiple,2,5.7,1.4604,,,,,,,,1,,1,
carrying,4,5.26,1.2747,,,,,,,,1,,3,
stolen,2,2.5,1.3887,,,,,,,,1,,,1
grain,6,5.84,1.2675,,,,,,,,3,3,,
allowed,1,5.96,1.7375,,,,,,,,1,,,
contains,1,5.71,1.2076,,,,,,,,1,,,
miles,2,5.3,1.165,,,,,,,,1,,1,
occupied,5,5.04,1.3395,,,,,,,,1,4,,
want,1,5.7,1.3439,,,,,,,,1,,,
nerve,2,4.82,1.4815,,,,,,,,1,,,1
advances,3,6.24,1.3486,,,,,,,,1,2,,
highway,1,5.48,1.2656,,,,,,,,1,,,
chancellor,1,5.18,1.4803,,,,,,,,1,,,
fighting,14,2.76,1.5722,,,,,,,,6,4,2,2
went,1,4.88,1.4518,,,,,,,,1,,,
intended,1,5.2,1.0498,,,,,,,,1,,,
broader,2,5.58,1.2631,,,,,,,,1,,1,
plant,4,6.74,1.3524,,,,,,,,4,,,
surrounded,1,4.72,1.5524,,,,,,,,1,,,
agent,1,5.08,1.4405,,,,,,,,1,,,
accept,2,6.42,1.0708,,,,,,,,1,1,,
prize,2,7.62,1.2103,,,,,,,,2,,,
pulling,1,4.36,1.3962,,,,,,,,1,,,
disagree,1,3.68,1.2526,,,,,,,,1,,,
landing,1,5.82,1.2403,,,,,,,,1,,,
order,4,5.22,1.2337,,,,,,,,2,1,,1
defense,12,5.18,1.5345,,,,,,,,7,2,3,
planes,1,5.9,1.6812,,,,,,,,1,,,
indicate,1,5.48,0.9528,,,,,,,,1,,,
strategic,1,5.9,1.4743,,,,,,,,1,,,
videos,7,6.52,1.581,,,,,,,,4,3,,
competing,2,5.02,1.6597,,,,,,,,1,1,,
arise,1,6.2,1.1249,,,,,,,,1,,,
pulled,2,4.76,1.1528,,,,,,,,1,,1,
snow,1,6.32,2.1801,,,,,,,,1,,,
mail,2,6.36,1.6874,,,,,,,,1,,1,
concerns,2,4.06,1.5572,,,,,,,,1,,,1
podcast,1,5.8,1.3401,,,,,,,,1,,,
heat,1,4.16,1.8223,,,,,,,,1,,,
representatives,1,5.28,1.6665,,,,,,,,1,,,
letting,2,5.18,1.3656,,,,,,,,1,,,1
leave,6,4.52,1.3285,,,,,,,,3,1,2,
scholar,1,6.48,1.1292,,,,,,,,1,,,
examine,1,5.16,1.3896,,,,,,,,1,,,
traffic,1,3.34,1.6489,,,,,,,,1,,,
ministers,7,5.4,1.7728,,,,,,,,1,1,5,
willing,1,6.4,1.0302,,,,,,,,1,,,
listen,1,5.94,1.4344,,,,,,,,1,,,
stage,1,5.72,1.4434,,,,,,,,1,,,
plea,1,4.08,1.2262,,,,,,,,1,,,
documents,1,5.02,1.3169,,,,,,,,1,,,
architect,2,6.36,1.1386,,,,,,,,2,,,
continues,1,5.66,1.2554,,,,,,,,1,,,
similar,1,5.96,1.0872,,,,,,,,1,,,
accusations,2,3.16,1.5301,,,,,,,,1,1,,
transition,1,5.3,1.359,,,,,,,,1,,,
clean,1,6.9,1.8979,,,,,,,,1,,,
stations,1,5.44,0.9071,,,,,,,,1,,,
gun,2,2.82,1.4097,,,,,,,,1,,,1
battles,1,3.78,2.003,,,,,,,,1,,,
reduced,1,4.32,1.5836,,,,,,,,1,,,
storage,1,5.44,1.0721,,,,,,,,1,,,
turned,1,5.24,0.8466,,,,,,,,1,,,
main,1,5.4,1.2122,,,,,,,,1,,,
abyss,1,4.1,1.7108,,,,,,,,1,,,
swept,1,5.06,1.4902,,,,,,,,1,,,
assessment,1,5.28,1.3708,,,,,,,,1,,,
environment,1,6.22,1.7177,,,,,,,,1,,,
so-called,1,4.3,1.2657,,,,,,,,1,,,
add,1,5.9,0.9742,,,,,,,,1,,,
impose,2,3.9,1.1294,,,,,,,,1,1,,
partial,1,4.84,1.3593,,,,,,,,1,,,
brings,4,5.8,1.1066,,,,,,,,2,1,,1
latin,1,5.38,1.3834,,,,,,,,1,,,
experienced,1,6.82,1.1726,,,,,,,,1,,,
greatest,1,7.26,1.5228,,,,,,,,1,,,
loss,2,2.56,1.5005,,,,,,,,1,1,,
learning,1,6.92,1.3529,,,,,,,,1,,,
increases,1,6.44,1.6056,,,,,,,,1,,,
behavior,1,5.5,1.2657,,,,,,,,1,,,
halls,1,5.47,1.0821,,,,,,,,1,,,
duties,1,4.82,1.6866,,,,,,,,1,,,
machines,1,5.68,1.3005,,,,,,,,1,,,
michael,1,5.7,1.2164,,,,,,,,1,,,
persons,1,6.14,1.2748,,,,,,,,1,,,
radiation,1,3.45,2.2827,,,,,,,,1,,,
teens,1,5.86,1.552,,,,,,,,1,,,
emotional,1,4.42,1.7623,,,,,,,,1,,,
physical,4,5.88,1.2229,,,,,,,,1,2,1,
energy,2,7.22,1.2982,,,,,,,,2,,,
decline,1,3.08,1.2262,,,,,,,,1,,,
average,1,5.1,0.9091,,,,,,,,1,,,
crowds,2,4.46,1.8975,,,,,,,,1,,1,
apartment,1,5.6,1.3248,,,,,,,,1,,,
exact,1,6.04,1.2282,,,,,,,,1,,,
medical,2,4.72,1.6041,,,,,,,,1,,1,
waste,1,2.7,1.0546,,,,,,,,1,,,
london,2,6.46,1.6315,,,,,,,,1,1,,
drinking,2,6.14,1.7144,,,,,,,,2,,,
threw,1,4.68,1.0583,,,,,,,,1,,,
omitted,1,3.92,1.2095,,,,,,,,1,,,
headache,1,1.98,1.1156,,,,,,,,1,,,
required,1,4.46,1.3734,,,,,,,,1,,,
athletes,1,6.24,1.3786,,,,,,,,1,,,
arm,1,5.5,1.0152,,,,,,,,1,,,
finish,1,6.72,1.4148,,,,,,,,1,,,
pays,1,6.54,1.7404,,,,,,,,1,,,
alliance,1,6.0,1.6537,,,,,,,,1,,,
sponsor,2,6.0,1.4142,,,,,,,,2,,,
information,2,6.48,1.0544,,,,,,,,1,,1,
critic,1,3.36,1.3211,,,,,,,,1,,,
returned,2,5.18,1.4384,,,,,,,,1,1,,
build,2,6.22,1.0746,,,,,,,,1,,1,
focused,1,6.74,1.1395,,,,,,,,1,,,
comes,3,5.58,0.7584,,,,,,,,1,2,,
citizens,3,6.1,1.5152,,,,,,,,1,1,,1
negotiate,1,6.08,1.2752,,,,,,,,1,,,
community,1,6.28,1.3856,,,,,,,,1,,,
yale,1,5.54,1.7168,,,,,,,,1,,,
identify,1,5.58,1.3566,,,,,,,,1,,,
recently,2,5.44,1.1095,,,,,,,,1,1,,
label,1,5.32,1.019,,,,,,,,1,,,
shopping,1,7.1,1.5419,,,,,,,,1,,,
fighter,1,4.58,1.6548,,,,,,,,1,,,
threatened,1,2.62,1.4693,,,,,,,,1,,,
cathedral,1,6.14,1.552,,,,,,,,1,,,
expand,1,6.04,1.1421,,,,,,,,1,,,
moved,1,5.06,1.2357,,,,,,,,1,,,
